name1,name2,year_week,issue_num,p1,p2
"kapilreddy","mrdoob","201045","24","1","2"
"mrdoob","pyrotechnick","201047","24","21","02"
"kapilreddy","mrdoob","20118","24","22","22"
"kapilreddy","mrdoob","20119","24","2222","22"
"Mugen87","shravanimmy","201831","24","2","1"
"gero3","mrdoob","201048","36","2222","122220"
"alteredq","mrdoob","201048","36","00","122220"
"fabricasapiens","mrdoob","201048","36","122","122220"
"mrdoob","pyrotechnick","201048","36","122220","222222212122222"
"gero3","pyrotechnick","201048","36","2222","222222212122222"
"alteredq","pyrotechnick","201048","36","00","222222212122222"
"fabricasapiens","pyrotechnick","201048","36","122","222222212122222"
"alteredq","gero3","201048","36","00","2222"
"fabricasapiens","gero3","201048","36","122","2222"
"alteredq","fabricasapiens","201048","36","00","122"
"fabricasapiens","WaZz2","201121","212","2","221"
"mrdoob","rdad","201123","251","2","1"
"martindsq","mrdoob","201349","251","2","2"
"agnivade","mrdoob","20169","251","22","2"
"alteredq","anilshanbhag","201124","277","20","2"
"anilshanbhag","mrdoob","201124","277","2","222"
"jsermeno","mrdoob","201124","277","222","222"
"alteredq","mrdoob","201124","277","20","222"
"anilshanbhag","jsermeno","201124","277","2","222"
"alteredq","jsermeno","201124","277","20","222"
"jsermeno","rdad","201125","277","22","22122"
"mrdoob","rdad","201125","277","2","22122"
"jsermeno","mrdoob","201125","277","22","2"
"alteredq","danbri","201148","277","220","2201"
"alteredq","danbri","201149","277","02","12"
"alteredq","oosmoxiecode","20127","277","2","0"
"bagg","mrdoob","201126","312","2","2"
"inear","mrdoob","201131","312","21","2"
"alteredq","remoe","201127","341","2","2"
"mrdoob","remoe","201128","341","02","202"
"mrdoob","remoe","201137","341","22","20"
"alteredq","remoe","201137","341","0","20"
"alteredq","mrdoob","201137","341","0","22"
"mrdoob","yuriy-kornieiev","201216","341","0","21"
"remoe","yuriy-kornieiev","201216","341","2","21"
"mrdoob","remoe","201216","341","0","2"
"bhouston","crobi","20137","341","0","00"
"andrevenancio","crobi","201314","341","2","2"
"crobi","taoeffect","201331","341","22","02"
"bhouston","formigone","20143","341","2","220"
"alteredq","zz85","201130","375","10","11212"
"alteredq","zz85","201131","375","20","211"
"mrdoob","zz85","201135","375","2","1"
"mrdoob","savalin","201131","405","2","1"
"merbin2012","mrdoob","20179","405","2","2"
"merbin2012","WestLangley","20179","405","2","2"
"mrdoob","WestLangley","20179","405","2","2"
"mrdoob","poudro","201134","452","21","11"
"KrisKringle","poudro","201146","452","012","221"
"gengshenghong","mrdoob","201135","485","1","2"
"alteredq","ghost","201139","582","22","101"
"Anima-t3d","draivin","201140","620","11","2"
"draivin","mrdoob","201140","620","2","2"
"Anima-t3d","mrdoob","201140","620","11","2"
"Anima-t3d","mrdoob","201141","620","0","2"
"Jakobud","mrdoob","201141","642","1220","2022022220102"
"gero3","mrdoob","201141","642","2","2022022220102"
"alteredq","mrdoob","201141","642","22222022","2022022220102"
"gero3","Jakobud","201141","642","2","1220"
"alteredq","Jakobud","201141","642","22222022","1220"
"alteredq","gero3","201141","642","22222022","2"
"mrdoob","zz85","201141","642","2022022220102","0212"
"Jakobud","zz85","201141","642","1220","0212"
"gero3","zz85","201141","642","2","0212"
"alteredq","zz85","201141","642","22222022","0212"
"mrdoob","romsson","201149","659","2","2"
"romsson","towerrounder","201149","659","2","2"
"mrdoob","towerrounder","201149","659","2","2"
"disolovyov","mrdoob","201143","684","2","222"
"alteredq","mrdoob","201143","684","2","222"
"alteredq","disolovyov","201143","684","2","2"
"Mugen87","yousefamar","201714","684","2","2"
"mrdoob","ralfnap","201143","692","222","1"
"mrdoob","ralfnap","201144","692","2212","10101"
"alteredq","Pitel","201143","706","222","202"
"alteredq","Pitel","201144","706","2","2"
"danielribeiro","mrdoob","201144","720","021","22"
"alteredq","mrdoob","201144","720","0","22"
"alteredq","danielribeiro","201144","720","0","021"
"mrdoob","namiwang","201144","730","20","1"
"ghost","mrdoob","201547","730","22","2"
"mrdoob","zz85","201145","743","11","221"
"ymmd","zz85","201145","743","11","221"
"mrdoob","ymmd","201145","743","11","11"
"scotmos","WestLangley","201524","743","2","2"
"alteredq","vance","201145","744","20","21"
"drsagitn","vance","201152","744","11","20"
"danielribeiro","mrdoob","201146","759","0","2"
"danielribeiro","mrdoob","201342","759","22","2"
"jotinha","mrdoob","201342","759","2","2"
"danielribeiro","jotinha","201342","759","22","2"
"kevanstannard","mrdoob","20174","759","0","1"
"gixo","WestLangley","20127","781","1","2"
"nriss","WestLangley","201421","781","1","2"
"alteredq","maurrubio","201150","834","222","21121"
"drsagitn","mrdoob","201152","901","11","022"
"alteredq","mrdoob","201152","901","1","022"
"alteredq","drsagitn","201152","901","1","11"
"drsagitn","mrdoob","20121","901","1111","222"
"drsagitn","mrdoob","20122","901","1","22"
"drsagitn","mrdoob","20123","901","2","2"
"flyingdeath","mrdoob","201152","974","02211","220"
"flyingdeath","mrdoob","201252","974","22","02"
"flyingdeath","mrdoob","20121","974","122","1"
"mrdoob","WestLangley","201152","989","2","2"
"mrdoob","nebeleh","201439","989","2","22"
"donmccurdy","vgheorghiu","201838","989","2","2"
"gunderson","WestLangley","20164","991","2","2"
"luisArandas","Mugen87","20193","991","0","2"
"corsaronero","mrdoob","20121","1041","1","22"
"bhupendra1011","Mugen87","201833","1041","11","2"
"kor86","mrdoob","20121","1046","2","2"
"alteredq","chandlerprall","20122","1046","2","2"
"ekunuke","WestLangley","201244","1046","0","2"
"mrdoob","scganterh","20175","1046","2","2"
"scganterh","WestLangley","20175","1046","2","2"
"mrdoob","WestLangley","20175","1046","2","2"
"Mugen87","unphased","201849","1046","2","02"
"mrdoob","unphased","201849","1046","2","02"
"mrdoob","Mugen87","201849","1046","2","2"
"chandlerprall","LiquidSnakeX","20122","1056","22","11"
"Mugen87","VarghaSabee","201821","1056","0","2"
"chandlerprall","lonelydatum","20122","1069","21","11"
"chandlerprall","mrdoob","20122","1069","21","02"
"lonelydatum","mrdoob","20122","1069","11","02"
"alteredq","lonelydatum","20126","1069","2","1"
"landonsilla","mrdoob","20122","1079","220","0222"
"alteredq","mrdoob","20122","1079","2","0222"
"alteredq","landonsilla","20122","1079","2","220"
"landonsilla","mrdoob","20123","1079","2","1"
"alteredq","landonsilla","20126","1079","2","11"
"foobarbecue","mrdoob","201416","1079","21","2"
"alteredq","yagiz","20123","1119","2","21"
"chandlerprall","jeromeetienne","20124","1170","22","2010121"
"alteredq","jeromeetienne","20124","1170","202","2010121"
"alteredq","chandlerprall","20124","1170","202","22"
"chandlerprall","zz85","20124","1191","2","2"
"jayfield1979","mrdoob","20124","1202","1","0"
"donmccurdy","hfeist","201834","1202","2","2"
"mrdoob","powerslave","20125","1218","221","001"
"mrdoob","Sergej-Popov","201216","1219","2222","211220"
"Sergej-Popov","WestLangley","201216","1219","211220","22"
"mrdoob","WestLangley","201216","1219","2222","22"
"linzhp","WestLangley","201219","1219","01","2"
"cawoodm","Mugen87","201816","1219","2","2"
"Tobiasartz","WestLangley","20125","1239","12221","222201"
"Emanuele-Spatola","WestLangley","20174","1239","2","02"
"hadinehme","WestLangley","201532","1337","2","2"
"Mugen87","zhhuan","20184","1363","2","0"
"Landlord-xx","libe","20128","1372","1121","22211"
"libe","WestLangley","20128","1372","22211","1222"
"Landlord-xx","WestLangley","20128","1372","1121","1222"
"libe","WestLangley","201216","1372","21","2"
"mrdoob","WestLangley","201216","1372","2","2"
"libe","mrdoob","201216","1372","21","2"
"gyuque","mrdoob","20129","1396","12","10"
"alteredq","mrdoob","20129","1396","21","10"
"alteredq","gyuque","20129","1396","21","12"
"alteredq","zz85","201211","1396","0","12"
"mrdoob","zz85","201211","1396","2","12"
"alteredq","mrdoob","201211","1396","0","2"
"gyuque","zz85","201212","1396","1","1"
"alteredq","mrdoob","20129","1399","22","22"
"Malgalad","mrdoob","20129","1399","220","22"
"alteredq","Malgalad","20129","1399","22","220"
"kovleouf","zsitro","20129","1407","2","2"
"chandlerprall","chrisella","20129","1410","22","11"
"ghost","mrdoob","20129","1412","0","21"
"Pengeszikra","WestLangley","201210","1412","2","2"
"enriquemorenotent","mrdoob","20129","1429","0","22"
"Landlord-xx","mrdoob","201210","1454","2","0"
"letmaik","patrickfuller","201323","1454","22","022"
"letmaik","patrickfuller","201324","1454","21","2"
"patrickfuller","Pro","201420","1454","2","2"
"alteredq","renegademaster88","201211","1505","22","1"
"mrdoob","renegademaster88","201241","1505","2","02"
"trusktr","WestLangley","201828","1505","0","2"
"huanghuan","WestLangley","201211","1516","121","2"
"alteredq","WestLangley","201211","1516","02","2"
"alteredq","huanghuan","201211","1516","02","121"
"dacre-denny","donmccurdy","201810","1516","21","2"
"alteredq","mrdoob","201211","1524","2","2"
"huanghuan","mrdoob","201211","1524","1","2"
"alteredq","huanghuan","201211","1524","2","1"
"gero3","zz85","201218","1524","2","201"
"mrdoob","zz85","201218","1524","220","201"
"gero3","mrdoob","201218","1524","2","220"
"mrdoob","nhalloran","201242","1524","1","22"
"mrdoob","Wandalen","201420","1524","0","1"
"felixturner","zz85","201524","1524","2","1"
"jesseazueta","mrdoob","20175","1524","0","2"
"chandlerprall","zz85","201211","1535","1","222"
"mrdoob","zz85","201215","1535","21","20"
"lanfeustxiii","zz85","201216","1535","1","0"
"ghost","zz85","201218","1535","2","2"
"libe","mrdoob","201212","1568","12","2"
"davidedc","WestLangley","201214","1649","1","2"
"alteredq","chandlerprall","201215","1721","2","0"
"schmitzke","valette","201216","1721","112","02222022"
"mrdoob","valette","201216","1721","0222122222","02222022"
"scald","valette","201216","1721","21","02222022"
"mrdoob","schmitzke","201216","1721","0222122222","112"
"scald","schmitzke","201216","1721","21","112"
"mrdoob","scald","201216","1721","0222122222","21"
"alteredq","libe","201217","1791","0","2"
"libe","mrdoob","201217","1791","2","22"
"alteredq","mrdoob","201217","1791","0","22"
"etx","mrdoob","201444","1791","21","22"
"alberto2000","ghost","20169","1791","2","01"
"ghost","WestLangley","20169","1791","01","20"
"mrdoob","WestLangley","20169","1791","2222","20"
"martha-anne","WestLangley","20169","1791","111","20"
"alberto2000","WestLangley","20169","1791","2","20"
"ghost","mrdoob","20169","1791","01","2222"
"martha-anne","mrdoob","20169","1791","111","2222"
"alberto2000","mrdoob","20169","1791","2","2222"
"ghost","martha-anne","20169","1791","01","111"
"alberto2000","martha-anne","20169","1791","2","111"
"alberto2000","mrdoob","201620","1791","1","2"
"alteredq","gero3","201217","1807","2","2"
"gero3","nathaliaspatricio","201217","1807","2","2"
"alteredq","nathaliaspatricio","201217","1807","2","2"
"mrdoob","nathaliaspatricio","201220","1807","22","22"
"gero3","nathaliaspatricio","201221","1807","2","22"
"mrdoob","nathaliaspatricio","201221","1807","2","22"
"gero3","mrdoob","201221","1807","2","2"
"amurienne","mrdoob","201217","1821","1","2"
"mrdoob","raghavaro","201816","1821","2","2"
"come","zz85","201217","1824","11","22"
"KingsleyTong","Mugen87","201752","1824","2","2"
"mrdoob","shaharz","201217","1830","222","1"
"ironbane","WestLangley","201218","1842","1","2"
"mrdoob","WestLangley","201218","1842","2","2"
"ironbane","mrdoob","201218","1842","1","2"
"alteredq","mrdoob","201218","1864","222","2221"
"alteredq","scottgarner","201218","1864","222","0001"
"mrdoob","scottgarner","201218","1864","2221","0001"
"maartenbreddels","mrdoob","201832","1864","202","1"
