name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0Hughman0,chris-b1,20170,1.0,0.0,0,1,0,0,1,2
0x0L,andyljones,20170,0.0,1.0,0,0,0,0,1,2
1kastner,jreback,20170,1.0,1.0,0,0,0,0,1,2
4a616d6573205265696c6c79,jreback,20170,1.0,1.0,1,0,0,0,1,2
8one6,jreback,20170,1.0,1.0,0,0,0,0,1,6
AashitaK,brianhuey,20170,1.0,0.92,11,1,1,0,1,14
AashitaK,codecov-io,20170,1.0,1.0,1,0,0,0,1,3
AashitaK,jorisvandenbossche,20170,1.0,1.0,1,0,0,0,1,3
AashitaK,jreback,20170,1.0,0.92,12,1,2,0,1,15
AdamGleave,codecov[bot],20170,1.0,1.0,2,0,0,0,1,3
AdamGleave,dsm054,20170,1.0,1.0,1,0,0,0,1,2
AdamGleave,jreback,20170,1.0,1.0,0,0,0,0,1,3
AdrianTeng,jreback,20170,1.0,1.0,3,0,0,0,1,4
AlbertDeFusco,jorisvandenbossche,20170,1.0,1.0,1,0,1,0,1,4
AlbertDeFusco,minhouse,20170,1.0,1.0,2,0,2,0,1,4
AlexTheProgrammer,jreback,20170,1.0,1.0,3,0,0,0,1,4
AlexTheProgrammer,sdementen,20170,1.0,0.6699999999999999,1,0,0,0,1,4
AlexisMignon,TomAugspurger,20170,1.0,1.0,0,0,0,0,1,2
AlexisMignon,jreback,20170,1.0,1.0,1,0,0,0,1,2
AllenDowney,BranYang,20170,1.0,1.0,0,0,0,0,1,2
AllenDowney,chris-b1,20170,1.0,1.0,0,0,0,0,1,2
AllenDowney,jreback,20170,1.0,0.0,0,1,0,0,1,2
AndrewArcher,TomAugspurger,20170,1.0,0.6699999999999999,2,0,0,0,1,4
AndrewArcher,Zhang18,20170,1.0,1.0,2,0,0,0,1,4
AndrewArcher,jreback,20170,1.0,0.6699999999999999,2,0,0,0,1,4
AndrewRook,chris-b1,20170,1.0,1.0,0,0,0,0,1,2
AngryMaciek,jreback,20170,1.0,1.0,3,0,0,0,1,4
AnkurDedania,jorisvandenbossche,20170,1.0,1.0,0,0,0,0,1,2
AnkurDedania,jreback,20170,1.0,1.0,4,0,0,0,1,5
ArtyomKaltovich,TomAugspurger,20170,0.6699999999999999,1.0,2,0,0,0,1,4
ArtyomKaltovich,dorvak,20170,0.6699999999999999,1.0,2,0,0,0,1,4
Ashutosh-Srivastav,TomAugspurger,20170,1.0,1.0,1,0,0,0,1,2
Ashutosh-Srivastav,jreback,20170,1.0,1.0,1,0,0,0,1,2
BLMeltdown,chris-b1,20170,1.0,0.875,0,1,0,0,2,7
BLMeltdown,jreback,20170,0.5425,1.0,4,0,0,0,4,14
BLMeltdown,rosygupta,20170,1.0,1.0,1,0,1,0,1,4
BardiaAfshin,TomAugspurger,20170,1.0,1.0,1,0,0,0,1,2
BardiaAfshin,jreback,20170,1.0,1.0,2,0,0,0,1,3
BardiaAfshin,shoyer,20170,1.0,1.0,2,0,0,0,1,3
BibMartin,TomAugspurger,20170,1.0,1.0,1,0,1,0,1,2
BibMartin,chris-b1,20170,1.0,1.0,0,0,0,0,1,2
BibMartin,codecov[bot],20170,1.0,1.0,4,0,0,0,2,6
BibMartin,jreback,20170,1.0,1.0,4,0,0,0,2,6
Bigbrd,jreback,20170,1.0,1.0,6,0,0,0,1,5
Bigbrd,rouzazari,20170,1.0,1.0,2,0,0,0,1,3
BranYang,TomAugspurger,20170,1.0,1.0,1,0,0,0,1,2
BranYang,chris-b1,20170,1.0,1.0,1,0,0,0,2,4
BranYang,codecov[bot],20170,1.0,1.0,1,0,0,0,1,2
BranYang,hussaintamboli,20170,1.0,1.0,6,0,0,0,1,7
BranYang,jorisvandenbossche,20170,1.0,1.0,3,0,0,0,2,5
BranYang,jreback,20170,1.0,0.6875,5,0,0,0,4,11
BranYang,xmduhan,20170,1.0,1.0,1,0,0,0,1,2
BrenBarn,jorisvandenbossche,20170,0.0,1.0,0,0,0,0,1,3
CRP,TomAugspurger,20170,0.5,0.8,3,1,0,2,2,8
CRP,jreback,20170,0.0,1.0,0,1,0,0,1,2
Carreau,DGrady,20170,1.0,0.33,2,0,0,0,1,5
Carreau,TomAugspurger,20170,1.0,1.0,9,0,0,0,4,17
Carreau,codecov-io,20170,1.0,1.0,1,0,0,0,1,2
Carreau,gnestor,20170,1.0,1.0,2,0,0,0,1,3
Carreau,holdenk,20170,1.0,1.0,1,0,0,0,1,2
Carreau,jorisvandenbossche,20170,1.0,1.0,3,0,0,0,2,5
Carreau,jreback,20170,1.0,1.0,2,0,0,0,1,3
Carreau,minrk,20170,1.0,1.0,1,0,0,0,1,2
Carreau,pwalsh,20170,1.0,1.0,4,0,0,0,1,5
Carreau,rgbkrk,20170,1.0,0.6666666666666666,10,1,0,0,3,15
Carreau,takluyver,20170,1.0,1.0,1,0,0,0,1,2
Carreau,wesm,20170,1.0,1.0,2,0,0,0,1,3
ChikiChickey,jorisvandenbossche,20170,1.0,1.0,1,0,0,0,1,3
ClimbsRocks,jreback,20170,0.5,1.0,1,0,0,0,1,3
ClimbsRocks,shldngzh,20170,0.5,1.0,0,1,0,0,1,3
DGrady,TomAugspurger,20170,0.33,1.0,2,2,0,0,1,6
DGrady,jorisvandenbossche,20170,0.33,1.0,1,0,0,0,1,4
DGrady,jreback,20170,1.0,0.5,6,0,0,0,2,10
DGrady,wesm,20170,0.33,1.0,1,0,0,0,1,4
