name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
LipkeGu,Unit158,3,2,0,0,0.25,0.17,0.0,0.0,7,1,0.928,0.949,609,687
Phrohdoh,Unit158,3,0,0,0,0.33,0.0,0.0,0.0,6,1,0.932,0.949,2214,687
pchote,Unit158,2,0,0,0,0.33,0.0,0.0,0.0,5,1,0.939,0.949,7212,687
Mailaender,Unit158,2,0,0,0,0.33,0.0,0.0,0.0,5,1,0.937,0.949,4977,687
LipkeGu,Phrohdoh,9,0,0,0,0.75,0.0,0.0,0.0,7,1,0.928,0.932,609,2214
pchote,Phrohdoh,6,0,0,0,1.0,0.0,0.0,0.0,5,1,0.939,0.932,7212,2214
Mailaender,Phrohdoh,6,0,0,0,1.0,0.0,0.0,0.0,5,1,0.937,0.932,4977,2214
LipkeGu,pchote,6,0,0,0,0.75,0.0,0.0,0.0,6,1,0.928,0.939,609,7212
Mailaender,pchote,4,0,0,0,1.0,0.0,0.0,0.0,4,1,0.937,0.939,4977,7212
LipkeGu,Mailaender,6,0,0,0,0.75,0.0,0.0,0.0,6,1,0.928,0.937,609,4977
chrisforbes,cjshmyr,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.939,0.896,477,344
cjshmyr,dan9550,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.896,0.909,344,100
chrisforbes,dan9550,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.939,0.909,477,100
cjshmyr,penev92,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.896,0.916,344,3242
chrisforbes,penev92,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.939,0.916,477,3242
dan9550,penev92,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.909,0.916,100,3242
cjshmyr,Phrohdoh,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.896,0.932,344,2214
chrisforbes,Phrohdoh,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.939,0.932,477,2214
dan9550,Phrohdoh,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.909,0.932,100,2214
penev92,Phrohdoh,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.916,0.932,3242,2214
Mailaender,Phrohdoh,4,0,0,0,1.0,0.0,0.0,0.0,4,1,0.937,0.932,4977,2214
pchote,Phrohdoh,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.939,0.932,7212,2214
LipkeGu,Phrohdoh,4,0,0,0,1.0,0.0,0.0,0.0,4,1,0.928,0.932,609,2214
Micr0Bit,Phrohdoh,4,0,0,0,0.67,0.0,0.0,0.0,5,1,0.897,0.932,953,2214
penev92,Phrohdoh,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.916,0.932,3242,2214
deniz1a,Phrohdoh,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.98,0.932,429,2214
Phrohdoh,Rydra,18,0,0,0,0.6,0.0,0.0,0.0,17,1,0.932,0.848,2214,49
Mailaender,Rydra,18,0,0,0,0.6,0.0,0.0,0.0,17,1,0.937,0.848,4977,49
RoosterDragon,Rydra,10,2,10,0,0.33,0.07,0.33,0.0,17,1,0.954,0.848,1255,49
pchote,Rydra,10,5,0,1,0.33,0.17,0.0,0.03,17,1,0.939,0.848,7212,49
LipkeGu,Rydra,18,0,0,0,0.6,0.0,0.0,0.0,17,1,0.928,0.848,609,49
Micr0Bit,Rydra,19,5,0,1,0.42,0.11,0.0,0.02,18,1,0.897,0.848,953,49
penev92,Rydra,5,1,5,0,0.33,0.07,0.33,0.0,16,1,0.916,0.848,3242,49
deniz1a,Rydra,9,0,0,0,0.6,0.0,0.0,0.0,16,1,0.98,0.848,429,49
LipkeGu,Mailaender,4,0,0,0,1.0,0.0,0.0,0.0,4,1,0.928,0.937,609,4977
deniz1a,Mailaender,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.98,0.937,429,4977
