"name1","name2","period","issue_num","p1","p2"
"Carreau","tomspur","20111","2","0","2"
"fperez","tomspur","20111","2","21","2"
"Carreau","fperez","20111","2","0","21"
"ellisonbg","ipython","20100","8","2","2221"
"fperez","ipython","20110","8","2220100","2221"
"epatters","ipython","20110","8","22202","2221"
"epatters","ipython","20111","8","2","2221"
"ellisonbg","fperez","20100","8","2","2220100"
"epatters","fperez","20110","8","22202","2220100"
"epatters","fperez","20111","8","2","2220100"
"ipython","unidesigner","20100","8","2221","21"
"ellisonbg","unidesigner","20100","8","2","21"
"fperez","unidesigner","20110","8","2220100","21"
"epatters","unidesigner","20110","8","22202","21"
"rkern","unidesigner","20110","8","2","21"
"minrk","unidesigner","20110","8","21","21"
"minrk","unidesigner","20111","8","20","21"
"epatters","unidesigner","20111","8","2","21"
"ellisonbg","epatters","20100","8","2","22202"
"ipython","rkern","20100","8","2221","2"
"ellisonbg","rkern","20100","8","2","2"
"fperez","rkern","20110","8","2220100","2"
"epatters","rkern","20110","8","22202","2"
"minrk","rkern","20110","8","21","2"
"minrk","rkern","20111","8","20","2"
"epatters","rkern","20111","8","2","2"
"ipython","minrk","20100","8","2221","21"
"ellisonbg","minrk","20100","8","2","21"
"fperez","minrk","20110","8","2220100","21"
"epatters","minrk","20110","8","22202","21"
"epatters","minrk","20111","8","2","21"
"ipython","minrk","20100","8","2221","20"
"ellisonbg","minrk","20100","8","2","20"
"fperez","minrk","20110","8","2220100","20"
"epatters","minrk","20110","8","22202","20"
"epatters","minrk","20111","8","2","20"
"ellisonbg","epatters","20100","8","2","2"
"ellisonbg","ipython","20110","9","2","221"
"bfroehle","minrk","20121","10","2","2"
"ellisonbg","fperez","20110","12","2","0"
"Carreau","fperez","20140","12","2","0"
"damianavila","fperez","20140","12","1","0"
"Carreau","ellisonbg","20140","12","2","2"
"damianavila","ellisonbg","20140","12","1","2"
"Carreau","damianavila","20140","12","2","1"
"fperez","takluyver","20110","12","0","1"
"ellisonbg","takluyver","20110","12","2","1"
"Carreau","takluyver","20140","12","2","1"
"damianavila","takluyver","20140","12","1","1"
"ellisonbg","ipython","20110","13","21","0"
"fperez","ipython","20110","13","20","0"
"fperez","ipython","20120","13","1","0"
"ellisonbg","fperez","20110","13","21","20"
"ipython","takluyver","20100","13","0","2"
"ellisonbg","takluyver","20110","13","21","2"
"fperez","takluyver","20110","13","20","2"
"minrk","takluyver","20110","13","2","2"
"fperez","takluyver","20120","13","1","2"
"ipython","minrk","20100","13","0","2"
"ellisonbg","minrk","20110","13","21","2"
"fperez","minrk","20110","13","20","2"
"fperez","minrk","20120","13","1","2"
"ellisonbg","fperez","20110","13","21","1"
"ellisonbg","ipython","20110","14","2","11"
"Carreau","ipython","20140","14","2","11"
"ipython","takluyver","20100","14","11","2"
"ellisonbg","takluyver","20110","14","2","2"
"minrk","takluyver","20110","14","2","2"
"Carreau","takluyver","20140","14","2","2"
"Carreau","ellisonbg","20140","14","2","2"
"ipython","minrk","20100","14","11","2"
"ellisonbg","minrk","20110","14","2","2"
"Carreau","minrk","20140","14","2","2"
"ellisonbg","fperez","20110","15","2","1"
"fperez","ipython","20110","16","0","2"
"fperez","ipython","20111","16","2","2"
"ipython","takluyver","20100","16","2","2"
"fperez","takluyver","20110","16","0","2"
"fperez","takluyver","20111","16","2","2"
"Drekin","ipython","20141","17","2200","2"
"fperez","ipython","20141","17","2","2"
